BRAND,MODEL,8K_6K 60p,8K_6K 30p,8K_6K 24p,4K 240p,4K 120p,4K 60p,4K 30p,4K 24p,1080P 240p,1080P 120p,1080P 60p,1080P 30p,1080P 24p
CANON,C50,*9.7,*9.7,*9.7,,*7.8,*9.7,*9.7,*9.7,,*7.8,*9.7,*9.7,*9.7
CANON,C80,*9.7,*9.7,*9.7,,*7.8,*9.7,*9.7,*9.7,,*7.8,*9.7,*9.7,*9.7
CANON,C70,,,,,7.7,15.6,15.6,15.6,,*7.8,*9.7,*9.7,*9.7
CANON,C400,,,,,7.4,9.5,9.5,9.5,,*4.0,*4.0,*4.0,*4.0
CANON,C300 Mark II,,,,,7.7,15.6,15.6,15.6,,7.8,9.7,9.7,9.7
CANON,C300 Mark III,,,,,7.7,15.6,15.6,15.6,,7.8,9.7,9.7,9.7
CANON,C200,,,,,7.7,15.6,15.6,15.6,,7.8,9.7,9.7,9.7
CANON,R5 C,,15.5,15.5,,*7.8,*15.5,15.5,15.5,,*7.8,*15.5,*15.5,*15.5
CANON,R5,,15.5,15.5,,7.8,9.7,15.5,15.5,,7.8,9.7,9.7,9.7
CANON,R5 Mark II,,17.3,15.5,,7.1,9.7,17.3,17.3,,*7.8,*9.7,*9.7,*9.7
CANON,R100,,,,,,*14.5,*16.6,*16.6,,*6.2,*6.2,*6.2,*6.2
CANON,R10,,,,,,*13.5,*27,*27,,*7.1,*12,*12,*12
CANON,R8,,,,,,14.5,16.6,16.6,,6.2,6.2,6.2,6.2
CANON,R7,,,,,,13.5,27,27,,7.1,12,12,12
CANON,R6 Mark II,,,,,,15,16.6,16.6,,6.2,6.2,6.2,6.2
CANON,R6,,,,,,15.5,30,30,,6.8,10.8,10.8,10.8
CANON,R3,,,,,7.44,9.5,9.5,9.5,,2.4,2.4,2.4,2.4
CANON,R,,,,,,*13.5,*27,*27,,*7.1,*12,*12,*12
CANON,V10,,,,,,*15.5,*30,*30,,*6.8,*10.8,*10.8,*10.8
CANON,V1,,,,,,*15.5,*30,*30,,*6.8,*10.8,*10.8,*10.8
CANON,G7X Mark III,,,,,,*15.5,*30,*30,,*6.8,*10.8,*10.8,*10.8
CANON,G7X Mark II,,,,,,,,,,*6.8,*10.8,*10.8,*10.8
CANON,G7X,,,,,,,,,,*6.8,*10.8,*10.8,*10.8
CANON,M,,,,,,*15.5,*30,*30,,*6.8,*15.8,*15.8,*15.8
CANON,M5,,,,,,,,,,*6.8,*10.8,*10.8,*10.8
CANON,M6,,,,,,,,,,*6.8,*10.8,*10.8,*10.8
CANON,M6 Mark II,,,,,,*15.5,*30,*30,,*6.8,*10.8,*10.8,*10.8
CANON,M50 Mark II,,,,,,*15.5,32.8,32.8,,*6.8,13.4,13.4,13.4
CANON,1D X Mark III,,,,,,*15.5,*30,*30,,*6.8,*15.8,*15.8,*15.8
CANON,1D X Mark II,,,,,,*15.5,*30,*30,,*6.8,*15.8,*15.8,*15.8
CANON,7D Mark II,,,,,,*15.5,*30,*30,,*7.1,*12,*20,*20
CANON,6D Mark II,,,,,,*15.5,*30,*30,,*7.1,*12,*20,*20
CANON,6D,,,,,,*15.5,*30,*30,,*7.1,*12,*20,*20
CANON,90D,,,,,,*15.5,*30,*30,,*6.8,*10.8,*10.8,*10.8
CANON,80D,,,,,,*15.5,*30,*30,,*6.8,*10.8,*10.8,*10.8
CANON,70D,,,,,,*15.5,*30,*30,,*6.8,*12,*20,*20
CANON,60D,,,,,,*15.5,*30,*30,,*6.8,*12,*20,*20
CANON,850D,,,,,,*15.5,*30,*30,,*6.8,*10.8,*10.8,*10.8
CANON,R50,,,,,,*13.5,*27,*27,,*7.1,*12,*12,*12
CANON,R50 V,,,,,,*13.5,*27,*27,,*7.1,*12,*12,*12
CANON,760D,,,,,,*15.5,*30,*30,,*7.1,*12,*20,*20
CANON,100D,,,,,,*15.5,*30,*30,,*7.1,*12,*20,*20
CANON,5D Mark II,,,,,,*15.5,*30,*30,,*6.8,*20.8,*25.8,*25.8
CANON,5D Mark III,,,,,,*15.5,*30,*30,,*6.8,*20.8,*25.8,*25.8
CANON,5D Mark IV,,,,,,*15.5,*30,*30,,*6.8,*15.8,*15.8,*15.8
CANON,200D II,,,,,,*15.5,*30,*30,,*6.8,*13.8,*13.8,*13.8
CANON,200D,,,,,,*15.5,*30,*30,,*7.1,*12,*20,*20
CANON,1200D,,,,,,*15.5,*30,*30,,*7.1,*12,*20,*20
CANON,1300D,,,,,,,,,,*7.1,*12,*20,*20
CANON,1500D,,,,,,,,,,*7.1,*12,*20,*20
CANON,2000D,,,,,,,,,,*7.1,*12,*20,*20
CANON,3000D,,,,,,,,,,*7.1,*12,*20,*20
CANON,4000D,,,,,,,,,,*7.1,*12,*20,*20
SONY,ILCE-6300,,,,,,,32,40,,7.5,13,13,13
SONY,ILCE-6400,,,,,,,32,40,,7.5,13,13,13
SONY,ILCE-6500,,,,,,,32,40,,7.5,13,13,13
SONY,ILCE-6600,,,,,,,*32,*40,,*7.5,*13,*13,*13
SONY,ILCE-7M3,,,,,,,17.2,24.6,,7.1,7.1,7.1,7.1
SONY,ILCE-7M2,,,,,,,*31,*31,,*7.9,*15,*15,*15
SONY,ILME-FX3,,,,,,,,,,,,,
SONY,ILCE-7RM2,,,,,,,31,31,,7.9,15,15,15
SONY,ILCE-7RM3,,,,,,,15.5,15.5,,7.9,7.9,7.9,7.9
SONY,ILCE-7RM4,,,,,,,25,31,,7.3,13,13,13
SONY,ILCE-7SM3,,,,,7.69,8.8,8.8,8.8,,7.6,8.8,8.8,8.8
SONY,RX10M4,,,,,*7.69,*8.8,*8.8,*8.8,,*7.6,*8.8,*8.8,*8.8
SONY,RX1RM2,,,,,,,,,,*10,*15,*15,*15
SONY,ILCE-7SM2,,,,,,,*31,*31,,*7.9,*15,*15,*15
SONY,ZVE1,,,,,,9.2,9.2,9.2,,7.5,8.5,8.5,8.5
SONY,ZVE10,,,,,,,33,40,,*7.3,*13,*13,*13
SONY,ILCE-1,,15.4,15.4,,6.08,8,8,8,,5.3,5.3,5.3,5.3
NIKON,ZR,9.3,9.3,9.3,,6.1,9.3,9.3,9.3,,3.1,3.1,3.1,3.1
NIKON,Z 9,14.4,14.4,14.4,,4.86,14.5,14.5,14.5,,4.8,4.8,4.8,4.8
NIKON,Z 8,14.4,14.4,14.4,,4.86,14.5,14.5,14.5,,4.8,4.8,4.8,4.8
NIKON,Z 7II,,,,,*4.86,15,30,30,,7,10.7,10.7,10.7
NIKON,Z 7,,,,,*4.86,*15,30,30,,7,10.7,10.7,10.7
NIKON,Z6III,9.3,9.3,9.3,,6.1,9.3,9.3,9.3,,3.1,3.1,3.1,3.1
NIKON,Z 6II,,,,,*6.1,14.4,22.1,22.1,,5.2,7.3,7.3,7.3
NIKON,Z 6,,,,,*6.1,*14.4,22.1,22.1,,5.2,7.3,7.3,7.3
NIKON,Z 5,,,,,*4.86,*15,32,32,,*7,14.5,14.5,14.5
NIKON,Z f,,,,,6.1,15,22,22,,5.2,7.3,7.3,7.3
NIKON,Z fc,,,,,*6.1,*14.4,21.2,21.2,,7.1,7.1,7,7
NIKON,Z 50,,,,,*6.1,*14.4,*22.1,*22.1,,*5.2,*7.3,*7.3,*7.3
NIKON,Z 30,,,,,*6.1,*14.4,21,21,,7,7,7,7
NIKON,D850,,,,,*6.1,*14.4,*22.1,*22.1,,*5.2,*7.3,*7.3,*7.3
NIKON,D3500,,,,,,,,,,*5.2,*13,*20,*20
NIKON,D3400,,,,,,,,,,*5.2,*13,*20,*20
NIKON,D3300,,,,,,,,,,*5.2,*13,*20,*20
NIKON,D7500,,,,,*6.1,*14.4,*22.1,*22.1,,*5.2,*7.3,*7.3,*7.3
NIKON,D7200,,,,,*6.1,*14.4,*26.1,*26.1,,*5.2,*13,*20,*20
NIKON,D7100,,,,,*6.1,*14.4,*26.1,*26.1,,*5.2,*13,*20,*20
NIKON,D780,,,,,*6.1,*14.4,*22.1,*22.1,,*5.2,*7.3,*7.3,*7.3
NIKON,D800,,,,,*6.1,*14.4,*26.1,*26.1,,*5.2,*13,*20,*20
NIKON,D810,,,,,*6.1,*14.4,*26.1,*26.1,,*5.2,*13,*20,*20
NIKON,D610,,,,,*6.1,*14.4,*26.1,*26.1,,*5.2,*13,*20,*20
LUMIX,BS1H,,,,,,,,,,,,,
LUMIX,BGH1,,,,,,11.9,11.9,11.9,,,,,
LUMIX,S5M2X,,,,,,14.2,21.5,21.5,,5.2,10.7,10.7,10.7
LUMIX,S5M2,,,,,,14.3,22,22,,*5.2,*10.7,*21.5,*21.5
LUMIX,S9,,,,,,*14.3,*22,*22,,*5.2,*10.7,*21.5,*21.5
LUMIX,S5,,,,,,14.3,22,22,,*5.2,*10.7,*21.5,*21.5
LUMIX,S1M2,,14,15,*3,7,12.1,12.2,12.6,,3.1,12,12,12
LUMIX,S1RM2,*26,*26,*26,*3,*7,*13,*13,*13,,*5,*6,*6,*6
LUMIX,S1H,,26,26,,,14.3,24.2,24.2,,*5.2,*10.7,*21.5,*21.5
LUMIX,S1,,,,,,14.3,22,22,,*5.2,*10.7,*21.5,*21.5
LUMIX,S1R,,,,,,15.8,15.8,15.8,,7.1,13.9,13.9,15.7
LUMIX,G9M2,,,20.8,,7.1,13.2,13.2,13.2,,*5.2,*10.7,*11.5,*11.5
LUMIX,G9,,,,,,*23,*23,*23,,*5.2,*10.7,*11.5,*11.5
LUMIX,G7,,,,,,*23,*23,*23,,*5.2,*10.7,*11.5,*11.5
LUMIX,G100,,,,,,*23,*23,*23,,*5.2,*10.7,*11.5,*11.5
LUMIX,GX9,,,,,,*23,*23,*23,,*5.2,*10.7,*11.5,*11.5
LUMIX,GX85,,,,,,*23,27,27,,*7.2,14.3,14.3,14.3
LUMIX,G95,,,,,,*23,*23,*23,,*5.2,*10.7,*11.5,*11.5
LUMIX,G97,,,,,,*23,*23,*23,,*5.2,*10.7,*11.5,*11.5
LUMIX,GH7,,20.2,20.2,,7.1,13.8,13.8,13.8,,7.35,13.8,13.8,13.8
LUMIX,GH6,,12.7,12.7,,7.1,*13.2,*13.2,*13.2,,*5.2,*10.7,*11.5,*11.5
LUMIX,GH5S,,*12.7,*12.7,,*7.1,*13.2,*13.2,*13.2,,*5.2,*10.7,*11.5,*11.5
LUMIX,GH52,,*12.7,*12.7,,*7.1,*13.2,13.9,13.9,,*5.2,*10.7,*11.5,*11.5
LUMIX,GH5,,*12.7,*12.7,,*7.1,*13.2,*23.2,*23.2,,*5.2,*10.7,*21.5,*21.5
LUMIX,GH4,,*12.7,*12.7,,*7.1,*13.2,*23.2,*23.2,,*5.2,*10.7,*21.5,*21.5
LUMIX,GM5,,,,,,,,,,*5.2,*10.7,*21.5,*21.5
LUMIX,LX100M2,,,,,*7.1,*13.2,*23.2,*23.2,,*5.2,*10.7,*10.7,*10.7
LUMIX,LX100,,,,,*7.1,*13.2,*23.2,*23.2,,*5.2,*10.7,*10.7,*10.7
LUMIX,LX10,,,,,*7.1,*10.7,*10.7,*10.7,,*5.2,*10.7,*10.7,*10.7
FUJIFILM,GFX100S II,,*32,*32,,,*14.7,*14.7,*14.7,,*7.4,*7.4,*7.4,*7.4
FUJIFILM,GFX100RF,,*32,*32,,,*14.7,*14.7,*14.7,,*7.4,*7.4,*7.4,*7.4
FUJIFILM,GFX100S,,*32,*32,,,*14.7,28,28,,*7.4,14,14,14
FUJIFILM,GFX100 II,,32,32,,,14.7,14.7,14.7,,7.4,7.4,7.4,7.4
FUJIFILM,GFX100,,,,,,*20,28,28,,*7.4,14.1,14.1,14.1
FUJIFILM,GFX50S II,,,,,,,,,,,,*30.9,*30.9
FUJIFILM,GFX50S,,,,,,,,,,,,30.9,30.9
FUJIFILM,X-H2,,28,30.7,,,*20,28,30.7,,*7.4,*14.1,*14.1,*14.1
FUJIFILM,X-H2S,,,,,4,5.3,9.8,9.8,,5.3,5.3,5.3,5.3
FUJIFILM,X-H1,,,,,,*15.5,*26.3,*26.3,,*6.9,*15.1,*15.1,*15.1
FUJIFILM,X-M5,,,24.1,,,15.9,20.3,20.3,,*7.4,*12.7,*12.7,*12.7
FUJIFILM,X-S20,,,,,,16.1,20.3,20.3,,*7.4,*12.7,*12.7,*12.7
FUJIFILM,X-S10,,,,,,*16.1,*20.3,*20.3,,*7.4,*12.7,*12.7,*12.7
